packet,display_order,sample_id,caption_id,image_id,official_split,veracity,caption,relation_label,evidence_channel,annotator_confidence,notes
pilot_seed42,1,7,1019612,1040812,person_sbert_text_text,falsified,Amir Khan delivers another blow on the way to beating Devon Alexander on Saturday,contradiction,visible_conflict,medium,"The image shows a press-conference face-off, with suits and a promotional banner, and no punch being thrown, which conflicts with 'delivers another blow' during a bout. Channel: the press-conference scene visibly conflicts with the in-fight punch claim (the original is the Khan-Garcia press conference)."
pilot_seed42,2,189,1197349,1197349,semantics_clip_text_image,pristine,Lessons in Posing Subjects Standard Pose 1 1982 All images Robert HeineckenThe Robert Heinecken Trust,entailment,n/a,medium,"Four Polaroid test shots show women in standard arms-behind-head poses, consistent with 'Lessons in Posing Subjects Standard Pose'."
pilot_seed42,3,134,288231,288231,semantics_clip_text_text,pristine,Oklahoma guard Jordan Woodard tries to pass around Villanova defender Josh Hart during the first half,entailment,n/a,high,"An Oklahoma number 10 guard holds the ball up against a Villanova defender, matching the described play."
pilot_seed42,4,21,138367,259632,person_sbert_text_text,falsified,From behind a teleprompter US President Barack Obama pauses while speaking at the Global Health Security Agenda Summit at the White House in Washington September 26 2014 REUTERSKevin Lamarque,neutral,event_provenance,medium,"The image is a close-up of Obama pausing and touching his eye while speaking; the venue and summit cannot be verified from the image, and this generic briefing-room close-up cannot confirm the named summit and date. Channel: same speaker, different occasion (the original is his Sandy Hook remarks, not the 2014 health summit)."
pilot_seed42,5,187,254994,254994,person_sbert_text_text,pristine,Britain s Andy Murray returns against France s Jeremy Chardy,neutral,n/a,medium,"Andy Murray is mid-return on a clay court; the opponent is not visible, and Murray's identity is taken as claimed (identity is not second-guessed at this stage). On the stricter review pass, the named opponent (Chardy) is not visible; this is a generic clay-court return."
pilot_seed42,6,52,321571,180188,person_sbert_text_text,falsified,Sen Bernie Sanders and his wife Jane acknowledge the crowd as he arrives for his caucus night rally in Des Moines on Feb 1 2016,neutral,event_provenance,medium,"The image shows a Sanders campaign crowd with 'A Future to Believe In' signs, but Sanders and Jane are not visible in the frame. Channel: it is a Sanders crowd but a different election night (the original is the Vermont primary on March 1, not the Iowa caucus on February 1)."
pilot_seed42,7,132,621084,621084,semantics_clip_text_text,pristine,House speaker John Boehner last week said there was no threat of a government shutdown,neutral,n/a,high,This is a headshot of Boehner at a press conference. What he said cannot be verified from the image alone.
pilot_seed42,8,13,1667951,306268,semantics_clip_text_image,falsified,Dale Lindley said Sophie loved her bike and often rode it to school,neutral,external_knowledge,medium,"The image shows a painted rock outside a school building; nothing about Sophie or a bike is visible, and there is no direct conflict. Channel: the photo belongs to an unrelated story, and spotting this needs the outside knowledge that it shows Justin Shults's school, not Sophie's."
pilot_seed42,9,27,1665305,598641,semantics_clip_text_text,falsified,Rachel Evan Wood stars as Kate Winslet onscreen daughter in Mildred Pierce,neutral,external_knowledge,medium,"The image shows a pale red-headed figure in period styling. Distinguishing the actor and production needs face and film knowledge, and the named film cannot be pinned down; since fine-grained knowledge is not a visible conflict, the relation label is neutral. Channel: the film and actor are swapped (the original is Redmayne in The Danish Girl); the scene itself is compatible, so film and actor knowledge is needed."
pilot_seed42,10,42,587410,1521329,semantics_clip_text_text,falsified,Pope Francis places his hands on a plaque at the Memorial to Victims of Terror in Jerusalem,contradiction,visible_conflict,high,"The man at the plaque is visibly Vladimir Putin (with Shimon Peres), not Pope Francis, and no papal dress is visible. Channel: no papal figure is visible, and the suited man (Putin) directly conflicts with the 'Pope Francis' claim."
pilot_seed42,11,26,360148,940316,scene_resnet_place,falsified,Used cars are submerged in floodwater along US 70W in Kinston NC Oct 12 2016 as the Neuse River continues to rise,neutral,event_provenance,high,"The aerial view of rows of cars submerged in brown floodwater strongly supports the claim, but the exact road and date cannot be verified from the image alone, and the generic flooded car park cannot be pinned to the named road, city, and date. Channel: the flooded-cars scene is from a different flood (the original is Rocklea, Brisbane, not Kinston, North Carolina)."
pilot_seed42,12,135,1136596,1136596,semantics_clip_text_text,pristine,A water vole at a reintroduction scheme taken by Terry Whittaker which has won the 2020 Vision Special award,entailment,n/a,high,"A water vole is perched on vegetation in the water. The award detail cannot be checked from the image, but the subject matches the caption."
pilot_seed42,13,160,643590,643590,scene_resnet_place,pristine,The Duke and Duchess of Cambridge depart St Mary s Hospital with their newborn daughter,neutral,n/a,medium,"A newborn in a white bonnet and shawl is consistent with a hospital-departure photo, but the Duke and Duchess themselves are not in the frame. On the stricter review pass, the named royals are not in the frame; only a newborn is visible."
